,Title,Code,Date,Price per m² (triệu/m²),Total Price (tỷ),Area (m²),Bedroom Number,Bathroom Number,Legal Status,Furniture,District
0,"Bán nhà Ngõ Tân Lạc. Lô Góc - Xây mới, thông sàn, thang máy, sau nhà mặt phố.",42029719.0,2025-11-01 00:00:00,197.37,7.5,38.0,3.0,4.0,Sổ đỏ/ Sổ hồng,NAN,Hai Bà Trưng
1,"Chính chủ cần tiền bán gấp căn 69,9m giá giảm sâu chỉ 3 tỷ xx căn 2N,2VS toà Thăng Long Capital",41906406.0,2025-05-01 00:00:00,42.92,3.0,69.9,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hoài Đức
2,Chính chủ gửi bán căn hộ tầng trung 152m2 giá nhỉnh 50tr/m2 nhà đủ nội thất chỉ việc vào ở Dolphin,41489798.0,2025-06-01 00:00:00,55.26,8.4,152.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam Từ Liêm
3,"Bán nhà 50m2, 5 tầng, 12 tỷ, DV Dọc Bún La Khê Hà Đông, ô tô, kinh doanh sầm uất",41981996.0,2025-03-01 00:00:00,240.0,12.0,50.0,4.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Đông
4,"Bán nhà 5 tầng diện tích 130m2 mặt tiền 10m mặt phố Phú Xá, Phú Thượng, Tây Hồ, Hà Nội: 0981 222 ***",40616182.0,2025-04-01 00:00:00,203.85,26.5,130.0,6.0,6.0,Sổ đỏ/ Sổ hồng,NAN,Tây Hồ
5,"Chính chủ bán CH dự án Diamond Flower Tower - Lê Văn Lương 171m2, 4PN - 2WC, BC: Đông Nam, 10 tỷ",38735949.0,2025-07-01 00:00:00,58.48,10.0,171.0,4.0,2.0,Sổ đỏ/ Sổ hồng.,Full.,Thanh Xuân
6,"Tuyệt tác! Bán nhà phố Tô Vĩnh Diện, 20m ra ô tô, phân lô thoáng sáng, sổ đep, ngõ nông, 38m*5 tầng",42026345.0,2025-10-01 00:00:00,192.1,7.3,38.0,3.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Thanh Xuân
7,Chuyên Mua Bán Biệt Thự Liền Kề Tân Tây Đô,42023509.0,2025-10-01 00:00:00,0.0,0.0,80.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Đan Phượng
8,"Cần bán gấp 3 căn hộ 107m2 126m, 160m view cực đẹp cho thuê rất được giá tại Keang Nam giá 60tr/m2",39079017.0,2025-07-01 00:00:00,60.0,9.6,160.0,4.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ,Nam Từ Liêm
9,"BÁN NHÀ PHÂN LÔ TRẦN ĐIỀN, THANH XUÂN Ô TÔ TRÁNH, GẦN HỒ, Ô TÔ NGỦ TRONG NHÀ 55M, GIÁ 17.5",41855470.0,2025-11-01 00:00:00,318.18,17.5,55.0,5.0,0.0,Sổ đỏ/ Sổ hồng,Cơ bản,Thanh Xuân
10,"Hạ mạnh giá, bán nhà số 8 dãy 16B3 đường to 17m, Làng Việt Kiều CHâu âu - Nguyễn Văn Lộc - Hà Đông",40951901.0,2025-10-01 00:00:00,245.0,36.75,150.0,4.0,4.0,Sổ đỏ/ Sổ hồng,NAN,Hà Đông
11,"Hàng hiếm chung cư HN giá siêu rẻ căn 2PN Giá chỉ từ 17tr/m2, Dự án Him Lam Thượng Thanh Long Biên",41910633.0,2025-11-01 00:00:00,17.0,0.0,65.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Long Biên
12,"Bán đất tặng nhà cấp bốn mặt phố Dương Văn Bé vỉa hè rộng kinh doanh sầm uất 66/86m2 mt5,4m 23,5 tỷ",41665277.0,2025-10-01 00:00:00,273.26,23.5,86.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Hai Bà Trưng
13,Bán nhà quận Ba Đình diện tích 50m2 4tầng 4 ngủ cách đường ô tô chỉ 10m giá 6.15 tỷ gần ngay Hồ Tây,41968482.0,2025-11-01 00:00:00,123.0,6.15,50.0,4.0,4.0,Sổ đỏ/ Sổ hồng,NAN,Ba Đình
14,"Full thổ cư 100% - diện tích 50m2, mặt tiền 5m, hậu 5m, cạnh chợ sinh viên, cần bán gấp",38229224.0,2025-08-01 00:00:00,37.0,1.85,50.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Gia Lâm
15,"Siêu hiếm! Bán Gấp căn 3 ngủ góc tại Green Park Phương Đông, Full đồ đẹp, giá tốt nhất chỉ 6.5 tỷ",41729744.0,2025-06-01 00:00:00,60.75,6.5,107.0,3.0,2.0,Sổ đỏ/ Sổ hồng,NAN,Hoàng Mai
16,Phòng bán hàng dự án Louis City Đại Mỗ - Nam Từ Liêm DT từ 90m² - 300m2 chỉ từ 19.5 tỷ LH Mr Dân,41789737.0,2025-04-01 00:00:00,195.0,19.5,100.0,0.0,0.0,NAN,NAN,Nam Từ Liêm
17,"Bán gấp nhà riêng 34m2, 6,25 tỷ, 3PN, 3WC tại Ngọc Thụy, Long Biên, Hà Nội",42030673.0,2025-11-01 00:00:00,154.41,5.25,34.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Long Biên
18,"Bán nhà mặt phố Vĩnh Phúc, Ba Đình - vị trí đỉnh - nhà đẹp long lanh",41860654.0,2025-12-01 00:00:00,360.0,36.0,100.0,8.0,7.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Ba Đình
19,"Nhà sát ngã 4, 2 mặt tiền 88m2, vị trí đẹp nhất LaCasta Văn Phú. Kinh doanh tốt, cần bán trong tuần",36513320.0,2025-11-01 00:00:00,0.0,13.0,88.0,0.0,0.0,Sổ đỏ,Đầy đủ,Hà Đông
20,"Bán biệt thự Ciputra Tây Hồ, 210m2, mặt tiền 10m, 4X tỷ",38318858.0,2025-10-01 00:00:00,232.38,48.8,210.0,4.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây Hồ
21,"Bán nhà Sài Đồng 100m2, MT 6,5m, 4 tầng phân lô vỉa hè ôtô tránh giá 15tỷ TL",40526641.0,2025-02-01 00:00:00,150.0,15.0,100.0,4.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Long Biên
22,Bán gấp CCMN gần trường cấp 1 + 2 và chợ Khương Trung Ngã Tư Sở. Tiện ích xung quanh đầy đủ,42018449.0,2025-10-01 00:00:00,0.0,1.3,34.0,1.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Thanh Xuân
24,"Tôi bán mặt phố Ngọc Thụy, LB 100m2, MT: 8m, ô tô, kinh doanh, vị trí đỉnh, nhỉnh 15tỷ 0388 661 ***",38634555.0,2025-04-01 00:00:00,0.0,0.0,100.0,0.0,0.0,Sổ đỏ,NAN,Long Biên
25,Bán căn liền kề Thiên Đường Bảo Sơn chính chủ gửi bán giá chỉ 23.X tỷ cho 130.7m2 và 500m2 sử dụng,41652877.0,2025-10-01 00:00:00,0.0,0.0,130.7,0.0,0.0,Sổ đỏ,NAN,Hoài Đức
26,Nhỉnh 3 tỷ nhà đẹp phố Bạch Mai - 50m ra mặt phố - ngõ rộng 3 gác - gần phố - sổ đỏ riêng chính chủ,41668634.0,2025-12-01 00:00:00,167.27,3.68,22.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hai Bà Trưng
27,"CC bán gấp GS2: 1PN + 46.5m2, 2.4 tỷ bao phí, tầng đẹp, full đồ đầu tư 250tr, sẵn sổ (DTTT 42.8m2)",40851713.0,2025-05-01 00:00:00,51.61,2.4,46.5,1.0,1.0,Có sổ.,NAN,Nam Từ Liêm
28,Chính chủ - Đất Hà Đông - 47m2 - Lô góc - Ô tô - Phân lô bàn cờ - Vị trí đẹp - Giá chỉ 8.7 tỷ,42025784.0,2025-10-01 00:00:00,185.11,8.7,47.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Hà Đông
29,"Hiếm: Bán căn Lancaster Luminaire, 50m2, studio, cơ bản chủ đầu tư, 5,5 tỷ. 0899'.511,'866",41860609.0,2025-07-01 00:00:00,110.0,5.5,50.0,1.0,1.0,NAN,Cơ bản,Đống Đa
